Site,Habitat,Season,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree,Temp,Humidity
Croydon,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0,2,3,23,1,9,0,0,20,0,26,0,2,0,0,0,0,0,0,0,58,5,1,2,1,2777.2233,1.857262943,3,291.0950167,330.9138385,424.8864679,574.653595,0.458986296,0.376233578,0.344942434,154467,31400,11260,1583,2482391.821,8270366.801,23245497.09,127143043,61.5487823,59.7990532,58.0966759,NA,85.73627413,106.9695679,114.7752786,106.416669,7899.186466,340.53,340.53,1937,0.35,0.5,0.1,4,0,4,0,0,0,0,11,13.10318367,77.97505102
Croydon,1,2,2,0,0,0,0,0,0,0,1,0,0,0,4,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2777.2233,1.857262943,3,291.0950167,330.9138385,424.8864679,574.653595,0.458986296,0.376233578,0.344942434,154467,31400,11260,1583,2482391.821,8270366.801,23245497.09,127143043,61.5487823,59.7990532,58.0966759,NA,85.73627413,106.9695679,114.7752786,106.416669,7899.186466,340.53,340.53,1937,0.35,0.5,0.1,4,0,4,0,0,0,0,11,16.85391509,75.01942265
Edithvale,1,1,4,12,0,0,2,1,0,1,0,14,3,13,15,1,9,65,0,206,739,0,26,172,176,0,0,0,0,0,0,0,0,0,1319,5,1,NA,1,56762.02498,2.423688533,1.8,409.9957702,345.0744461,341.2877232,325.257202,0.392741236,0.476218461,0.498139197,87893,14825,6011,1107,744920.3946,3432624.929,13443925.71,102518499.2,60.0777779,60.5335007,60.0600891,58.4918633,125.4451314,101.3629339,104.7462979,118.7414657,22898.85185,269.54,269.54,2180.39,0.35,0.8,0.02,1,0,1,2,0,0,0,3,13.35240816,77.97505102
Edithvale,1,2,2,32,3,0,0,0,0,0,0,0,3,0,15,0,5,55,2,23,20,0,19,12,0,0,0,0,0,0,0,0,0,0,76,5,2,NA,1,56762.02498,2.423688533,1.8,409.9957702,345.0744461,341.2877232,325.257202,0.392741236,0.476218461,0.498139197,87893,14825,6011,1107,744920.3946,3432624.929,13443925.71,102518499.2,60.0777779,60.5335007,60.0600891,58.4918633,125.4451314,101.3629339,104.7462979,118.7414657,22898.85185,269.54,269.54,2180.39,0.35,0.8,0.02,1,0,1,2,0,0,0,3,13.21654717,85.71477358
Elizabeth,1,1,534,26,14,0,2,13,1,14,11,0,3,3,7,29,11,643,37,121,0,6,77,2,16,0,3,0,0,0,0,0,0,0,262,7,2,1,1,2414.59093,0.792714213,1.5,297.6883586,260.3610526,223.4622176,227.889668,0.436703174,0.464694097,0.5070228,154467,42958,21555,4618,736418.1449,3084124.189,13880628.19,101589807.5,58.5844154,58.9448051,58.082325,48.3116913,109.8524213,119.6933918,116.2142651,120.9928088,9388.110002,56.72,56.72,653.39,0.4,0.9,0.1,10,39,49,1,0,0,0,2,16.06175472,75.95962264
Elizabeth,1,2,125,9,12,0,1,2,0,2,6,42,4,0,3,13,10,217,23,12,0,0,33,5,8,0,0,1,0,0,0,0,0,0,82,6,1,1,1,2414.59093,0.792714213,1.5,297.6883586,260.3610526,223.4622176,227.889668,0.436703174,0.464694097,0.5070228,154467,42958,21555,4618,736418.1449,3084124.189,13880628.19,101589807.5,58.5844154,58.9448051,58.082325,48.3116913,109.8524213,119.6933918,116.2142651,120.9928088,9388.110002,56.72,56.72,653.39,0.4,0.9,0.1,10,39,49,1,0,0,0,2,16.10291176,75.01942265
Elsternwick,1,1,36,0,0,0,0,1,0,1,1,3,0,0,1,0,5,42,5,6,67,0,22,2,185,0,0,0,0,0,0,0,0,0,287,6,1,1,1,14786.77393,0.2182,3,327.4179083,348.9058653,358.3172469,330.350443,0.219536581,0.316510745,0.512213717,679,29724,14033,2769,3421739.719,10495254.99,27247512.31,279249474.3,61.4767494,62.1575394,62.5915031,62.9047623,108.3495506,111.6424441,106.7826486,98.55649829,6046.241542,265.34,265.34,2578.69,0.03,0.4,0.15,3,0,3,0,0,0,0,8,14.57596939,68.40652041
Elsternwick,1,2,160,0,4,0,0,0,0,0,3,6,0,0,0,2,5,175,105,72,4,13,35,2,375,0,0,0,0,5,0,0,0,0,611,8,1,1,1,14786.77393,0.2182,3,327.4179083,348.9058653,358.3172469,330.350443,0.219536581,0.316510745,0.512213717,679,29724,14033,2769,3421739.719,10495254.99,27247512.31,279249474.3,61.4767494,62.1575394,62.5915031,62.9047623,108.3495506,111.6424441,106.7826486,98.55649829,6046.241542,265.34,265.34,2578.69,0.03,0.4,0.15,3,0,3,0,0,0,0,8,22.08543137,60.28662745
Epsom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,0,4,51,1,0,0,0,0,0,0,0,0,0,0,117,5,2,1,1,9880.7366,0.147723685,1.5,417.5978495,386.98235,375.1181098,347.603646,0.238504504,0.344501409,0.32559112,48398,22163,5590,712,900283.5576,3833175.198,13710427.66,357742124.6,60.8390808,61.1404457,60.7568588,61.6100311,102.7428327,108.1683043,107.666006,111.1393307,20205.36077,72.21,72.21,1320.45,0.77,0.8,0,0,2,2,25,0,0,0,11,17.37822449,82.64318367
Epsom,1,2,39,0,39,0,0,0,0,0,0,0,0,0,0,0,2,78,4,25,0,0,35,2,3,0,0,0,0,0,0,0,0,0,69,5,2,1,1,9880.7366,0.147723685,1.5,417.5978495,386.98235,375.1181098,347.603646,0.238504504,0.344501409,0.32559112,48398,22163,5590,712,900283.5576,3833175.198,13710427.66,357742124.6,60.8390808,61.1404457,60.7568588,61.6100311,102.7428327,108.1683043,107.666006,111.1393307,20205.36077,72.21,72.21,1320.45,0.77,0.8,0,0,2,2,25,0,0,0,11,14.03964151,82.10389623
Ferny Crrek,1,1,226,65,3,6,2,2,0,2,5,21,55,33,34,14,12,466,12,39,0,0,7,1,3,0,0,0,0,1,0,2,0,0,65,7,2,NA,2,13890.25303,0.60921403,3.5,396.8556281,434.5583409,415.2109389,398.372436,0.596911923,0.59744516,0.594247133,1340544,183216,41637,14162,712221.1758,2927525.947,11730740.63,99232985.8,50.6707306,53.9439926,49.8341293,39.9247818,157.0470928,169.3563164,164.2692886,145.6788419,11649.19218,1268.26,1268.26,34.84,0.15,0.9,0.4,0,1,1,0,1,0,1,1,16.36488298,75.01942265
